,Original Rows,Columns,Type,Silhouettescore,DaviesBouldinscore,Calinskiharabazscore,Cohesionscore,Separationscore,RMSSTDscore,RSscore,XBscore,Adjustedrandomscore,Adjusted_mutual_info_score,Fowlkes_mallows_score,Normalizedmutualinfoscore,imbalanced_ratio_before_sampling,total_hypersphere,hypersphere_minority,hypersphere_majority,samplesperhypersphere,samplesperhypersphere_minority,samplesperhypersphere_majority,Average distance between class,overlapping
159,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
164,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
169,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
174,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
179,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
184,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
189,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
194,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
199,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
204,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
209,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
214,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
219,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
224,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
229,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
234,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
239,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
244,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
249,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
254,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
259,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
264,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
269,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
274,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
279,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
284,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
289,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
294,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
299,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
304,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
309,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
314,699,9,0,0.597175487,0.758847925,1047.65105,19647.37107,29531.69142,1.769760835,0.600493176,0.148473046,0.844400108,0.742436015,0.93003345,0.742724116,0.526200873,45,35,10,15.53333333,6.885714286,45.8,3.26551378,0.247839365
319,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
324,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
329,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
334,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
339,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
344,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
349,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
354,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
359,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
364,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
369,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
374,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
379,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
384,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
389,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
394,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
399,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
404,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
409,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
414,106,9,1,0.651877359,0.394535246,2991.017898,241631186.7,36136160202.0,518.1496852,0.993357728,0.080545192,0.099858979,0.228699399,0.345159361,0.293690871,0.636363636,58,6,8,1.827586207,2.333333333,2.75,701.8154325,0.003385857
419,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
424,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
429,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
434,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
439,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
444,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
449,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
454,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
459,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
464,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
469,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
474,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
479,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
484,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
489,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
494,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
499,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
504,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
509,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
514,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
519,345,6,0,0.634405154,0.767878117,322.2691217,423980.8838,398355.5307,14.35325672,0.484419179,0.101903635,-0.005354505,-0.002030173,0.640674477,0.000856041,0.725,156,70,86,2.211538462,2.071428571,2.325581395,5.123475383,0.073202171
524,303,13,1,0.277787463,1.06740869,169.3733094,332529.344,755994.5701,9.264781461,0.694513515,0.489724605,0.048789537,0.019848063,0.334125619,0.039968739,0.079268293,192,12,76,1.578125,1.083333333,2.157894737,8.140627659,0.160171684
529,303,13,1,0.277787463,1.06740869,169.3733094,332529.344,755994.5701,9.264781461,0.694513515,0.489724605,0.048789537,0.019848063,0.334125619,0.039968739,0.079268293,192,12,76,1.578125,1.083333333,2.157894737,8.140627659,0.160171684
534,303,13,1,0.277787463,1.06740869,169.3733094,332529.344,755994.5701,9.264781461,0.694513515,0.489724605,0.048789537,0.019848063,0.334125619,0.039968739,0.079268293,192,12,76,1.578125,1.083333333,2.157894737,8.140627659,0.160171684
539,303,13,1,0.277787463,1.06740869,169.3733094,332529.344,755994.5701,9.264781461,0.694513515,0.489724605,0.048789537,0.019848063,0.334125619,0.039968739,0.079268293,192,12,76,1.578125,1.083333333,2.157894737,8.140627659,0.160171684
544,303,13,1,0.277787463,1.06740869,169.3733094,332529.344,755994.5701,9.264781461,0.694513515,0.489724605,0.048789537,0.019848063,0.334125619,0.039968739,0.079268293,192,12,76,1.578125,1.083333333,2.157894737,8.140627659,0.160171684
549,303,13,1,0.277787463,1.06740869,169.3733094,332529.344,755994.5701,9.264781461,0.694513515,0.489724605,0.048789537,0.019848063,0.334125619,0.039968739,0.079268293,192,12,76,1.578125,1.083333333,2.157894737,8.140627659,0.160171684
554,303,13,1,0.277787463,1.06740869,169.3733094,332529.344,755994.5701,9.264781461,0.694513515,0.489724605,0.048789537,0.019848063,0.334125619,0.039968739,0.079268293,192,12,76,1.578125,1.083333333,2.157894737,8.140627659,0.160171684
559,303,13,1,0.277787463,1.06740869,169.3733094,332529.344,755994.5701,9.264781461,0.694513515,0.489724605,0.048789537,0.019848063,0.334125619,0.039968739,0.079268293,192,12,76,1.578125,1.083333333,2.157894737,8.140627659,0.160171684
